ID,ResortName,Continent,Country,StateProvince,URL,Altitude,Easy,Intermediate,Difficult,Adult,Youth,Child,Currency,ResortSize,SlopeOfferingVariety,LiftsAndCableCars,Latitude,Longitude
2570,liberty-mountain,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/liberty-mountain/,355,3,4,2,76,0,64,US Dollar,2,2.3,3,39.76366,-77.375459
4852,timberline,North America,USA,Oregon,http://www.skiresort.info/ski-resort/timberline/,2603,8,15,8,76,63,34,US Dollar,2.9,3.3,4.1,45.3311307,-121.7110071
190,apex-resort,North America,Canada,British Columbia,http://www.skiresort.info/ski-resort/apex-resort/,2180,8,33,26,78,64,48,Canadian Dollar,3.5,3.8,3.6,49.390317,-119.904704
2493,le-massif-de-charlevoix,North America,Canada,Quebec,http://www.skiresort.info/ski-resort/le-massif-de-charlevoix/,806,12,16,11,78,57,39,Canadian Dollar,2.9,3.3,4.2,47.2799543,-70.5718336
101,alpental,North America,USA,Washington State,http://www.skiresort.info/ski-resort/alpental/,1670,0.5,2.3,6.8,79,55,15,US Dollar,2.1,2.3,3.5,47.444154,-121.4259301
4421,snow-valley,North America,USA,California,http://www.skiresort.info/ski-resort/snow-valley/,2390,4,20,10,79,69,35,US Dollar,2.7,3,3.3,34.2200076,-117.0605928
3801,ragged-mountain,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/ragged-mountain/,680,4.5,10,8,79,65,55,US Dollar,2.5,2.8,3.9,43.4678528,-71.8292474
4835,the-summit-at-snoqualmie,North America,USA,Washington State,http://www.skiresort.info/ski-resort/the-summit-at-snoqualmie/,1180,5.2,13.7,9,79,55,15,US Dollar,2.6,2.9,3.2,47.42044,-121.4211049
4853,timberline-four-seasons,North America,USA,West Virginia,http://www.skiresort.info/ski-resort/timberline-four-seasons/,1301,6,6,6,79,0,55,US Dollar,2.3,2.7,3,39.042453,-79.39903
991,diamond-peak,North America,USA,Western United States,http://www.skiresort.info/ski-resort/diamond-peak/,2602,6,14,10,79,64,39,US Dollar,2.8,3.1,3.4,43.5204007,-122.1497581
594,brighton,North America,USA,Utah,http://www.skiresort.info/ski-resort/brighton/,3200,10,18,38,79,0,49,US Dollar,3.5,3.8,4.1,40.60384,-111.5821429
